model,framework,data_pct,POS,LAS,MorphF1,Lemma,SentF
lv_spacy_cnn_5pct,CNN,5,0.989949208567359,0.9250070342110925,0.9919439155096041,0.8836059849034302,0.7828909681115142
lv_spacy_cnn_5pct,CNN,5,0.989949208567359,0.9250070342110925,0.9919439155096041,0.8836059849034302,0.7828909681115142
lv_spacy_cnn_50pct,CNN,50,0.991491821126628,0.9559527137008599,0.9955133617388915,0.8836059849034302,0.9557233217710671
lv_spacy_cnn_100pct,CNN,100,0.9919357006532082,0.9659307444641566,0.9967834855948576,0.8836059849034302,0.9796338202016046
lv_roberta_base_100pct,XLM-R,100,0.9942577426339075,0.9830319157673418,0.9978041754899035,0.8836059849034302,0.982911262095944
lv_roberta_base_50pct,XLM-R,50,0.9944177662994499,0.9827606041183915,0.997951020568224,0.8836059849034302,0.9786184210526315
lv_roberta_base_20pct,XLM-R,20,0.9939910470634099,0.9767655703518826,0.9973931636448844,0.8836059849034302,0.9605048859934854
lv_roberta_base_5pct,XLM-R,5,0.9938168718748319,0.9727722365545459,0.9974895315904669,0.8836059849034302,0.956079707198048
lv_roberta_large_5pct,XLM-R,5,0.9935619144903965,0.9746486273479574,0.9973998909317544,0.8836059849034302,0.9666598486398037
lv_roberta_large_20pct,XLM-R,20,0.9938439205354983,0.9763461348927364,0.9972557602226587,0.8836059849034302,0.9557090613571718
lv_roberta_large_50pct,XLM-R,50,0.9941643135672987,0.9833160740996434,0.9978898512124788,0.8836059849034302,0.9837281153450053
lv_spacy_cnn_20pct,CNN,20,0.9901367948614582,0.9324364330120719,0.9921136188527204,0.8836059849034302,0.8578720062819003
